vm_type,idle,usage_10,usage_50,usage_100
r6gd.12xlarge.elasticsearch,13.06,35.8,84.63,114.59
r6gd.16xlarge.elasticsearch,17.42,47.74,112.84,152.78
db.m6g.large,0.54,1.49,3.53,4.77
db.m6g.xlarge,1.09,2.98,7.05,9.55
db.m6g.2xlarge,2.18,5.97,14.1,19.1
db.m6g.4xlarge,4.35,11.93,28.21,38.2
db.m6g.8xlarge,8.71,23.87,56.42,76.39
db.m6g.12xlarge,13.06,35.8,84.63,114.59
db.m6g.16xlarge,17.42,47.74,112.84,152.78
db.m5.large,1.14,2.87,6.39,9.28
db.m5.xlarge,2.28,5.75,12.79,18.56
db.m5.2xlarge,4.56,11.49,25.58,37.12
db.m5.4xlarge,9.12,22.99,51.16,74.23
db.m5.8xlarge,18.24,45.97,102.31,148.46
db.m5.12xlarge,27.36,68.96,153.47,222.69
db.m5.16xlarge,36.47,91.95,204.62,296.92
db.m5.24xlarge,54.71,137.92,306.93,445.38
db.m4.large,0.97,2.77,5.71,7.81
db.m4.xlarge,1.94,5.55,11.41,15.62
db.m4.2xlarge,3.89,11.1,22.82,31.24
db.m4.4xlarge,7.77,22.19,45.64,62.47
db.m4.10xlarge,24.12,68.87,141.65,193.88
db.m4.16xlarge,31.09,88.76,182.57,249.9
db.m3.medium,0.87,2.47,5.09,6.97
db.m3.large,1.73,4.95,10.18,13.94
db.m3.xlarge,3.47,9.9,20.36,27.87
db.m3.2xlarge,6.94,19.8,40.72,55.74
db.m1.small,0.72,2.04,4.21,5.76
db.m1.medium,0.72,2.04,4.21,5.76
db.m1.large,1.43,4.09,8.41,11.51
db.m1.xlarge,2.86,8.18,16.82,23.02
db.z1d.12xlarge,48,148,361,441
db.z1d.large,2,6.17,15.04,18.38
db.z1d.xlarge,4,12.33,30.08,36.75
db.z1d.2xlarge,8,24.67,60.17,73.5
db.z1d.3xlarge,12,37,90.25,110.25
db.z1d.6xlarge,24,74,180.5,220.5
db.x1e.xlarge,2.26,6.46,13.28,18.18
db.x1e.2xlarge,4.52,12.91,26.56,36.35
db.x1e.4xlarge,9.05,25.83,53.12,72.71
db.x1e.8xlarge,18.09,51.65,106.24,145.41
db.x1e.16xlarge,36.19,103.3,212.47,290.83
db.x1e.32xlarge,72.37,206.61,424.94,581.65
db.x1.32xlarge,72.37,206.61,424.94,581.65
db.x1.16xlarge,36.19,103.3,212.47,290.83
db.r6g.large,0.54,1.49,3.53,4.77
db.r6g.xlarge,1.09,2.98,7.05,9.55
db.r6g.2xlarge,2.18,5.97,14.1,19.1
db.r6g.4xlarge,4.35,11.93,28.21,38.2
db.r6g.12xlarge,13.06,35.8,84.63,114.59
db.r6g.16xlarge,17.42,47.74,112.84,152.78
db.r5.large,1.21,3.05,7.16,9.96
db.r5.xlarge,2.41,6.11,14.32,19.92
db.r5.2xlarge,4.82,12.22,28.64,39.83
db.r5.4xlarge,9.65,24.44,57.28,79.66
db.r5.8xlarge,19.29,48.88,114.57,159.33
db.r5.12xlarge,28.94,73.32,171.85,238.99
db.r5.16xlarge,38.59,97.75,229.13,318.65
db.r5.24xlarge,57.88,146.63,343.7,477.98
db.r4.large,0.97,2.77,5.71,7.81
db.r4.xlarge,1.94,5.55,11.41,15.62
db.r4.2xlarge,3.89,11.1,22.82,31.24
db.r4.4xlarge,7.77,22.19,45.64,62.47
db.r4.8xlarge,15.55,44.38,91.28,124.95
db.r4.16xlarge,31.09,88.76,182.57,249.9
db.r3.large,1.39,3.96,8.14,11.15
db.r3.xlarge,2.77,7.92,16.29,22.3
db.r3.2xlarge,5.55,15.84,32.58,44.59
db.r3.4xlarge,11.1,31.68,65.16,89.19
db.r3.8xlarge,22.19,63.36,130.32,178.37
db.m2.xlarge,1.73,4.95,10.18,13.94
db.m2.2xlarge,3.47,9.9,20.36,27.87
db.m2.4xlarge,6.94,19.8,40.72,55.74
db.t3.micro,1.21,3.05,7.16,9.96
db.t3.small,1.21,3.05,7.16,9.96
db.t3.medium,1.21,3.05,7.16,9.96
db.t3.large,1.21,3.05,7.16,9.96
db.t3.xlarge,2.41,6.11,14.32,19.92
db.t3.2xlarge,4.82,12.22,28.64,39.83
db.t2.micro,0.6,1.72,3.54,4.85
db.t2.small,0.6,1.72,3.54,4.85
db.t2.medium,1.21,3.44,7.08,9.69
db.t2.large,1.21,3.44,7.08,9.69
db.t2.xlarge,2.41,6.89,14.16,19.39
db.t2.2xlarge,4.82,13.77,28.33,38.78
